10002,8
10032,8
10035,8
10036,8
10050,8
10056,16
10066,8
10078,118
10083,16
10105,8
10108,8
10129,8
10140,7
10146,8
10154,16
10159,8
10164,16
10173,8
10178,32
10197,8
10199,8
10206,8
10215,31
10220,8
10222,8
10242,15
10255,8
10258,15
10264,8
10266,28
10277,7
10279,62
10285,8
10294,8
10302,16
10328,16
10340,8
10351,8
10402,15
10418,8
10419,118
10438,8
10442,16
10443,8
10449,8
10480,16
10487,16
10494,8
10500,16
10517,8
10534,8
10563,8
10575,8
10579,8
10581,16
10582,8
10584,30
10587,8
10598,8
10599,8
10611,8
10629,8
10644,28
10652,8
10680,113
10686,7
10689,15
10694,25
10709,8
10711,16
10753,8
10763,16
10766,59
10773,8
10783,7
10784,8
10789,31
10797,30
10800,31
10812,32
10820,8
10875,8
10889,16
10915,8
10934,31
10941,15
10943,15
10947,28
10989,32
10994,8
11034,31
11038,59
11039,8
11041,7
11052,55
11057,8
11068,8
11069,8
11081,32
11092,7
11110,8
11120,16
11125,58
11165,8
11181,15
11208,29
11215,8
11223,31
11272,8
11275,8
11282,16
11292,8
11293,8
11297,6
11302,8
11305,62
11386,8
11387,8
11419,60
11421,8
11436,8
11437,8
11444,8
11446,8
11453,8
11457,7
11488,8
11494,16
11495,13
11503,8
11507,7
11511,8
11531,8
11552,8
11553,8
11565,114
11577,15
11581,31
11596,8
11599,7
11624,8
11639,8
11673,29
11699,7
11725,25
11728,8
11739,8
11743,8
11759,118
11777,7
11828,8
11841,26
11843,8
11848,8
11852,30
11889,14
11893,118
11909,8
11935,8
11936,16
11955,6
11988,8
12017,8
12021,63
12025,7
12056,8
12080,30
12084,61
12103,8
12105,13
12137,32
12145,14
12165,115
12189,30
12190,8
12209,8
12215,59
12218,31
12220,8
12227,8
12237,16
12276,7
12281,8
12284,8
12288,15
12293,15
12307,63
12308,60
12320,8
12325,8
12339,8
12341,16
12355,15
12362,16
12369,8
12385,116
12387,8
12458,16
12471,8
12491,8
12508,29
12522,16
12532,15
12533,16
12537,8
12564,8
12572,31
12595,8
12604,57
12631,5
12633,8
12694,16
12697,26
12711,59
12716,8
12751,14
12770,8
12793,121
12804,16
12809,31
12821,8
12829,8
12843,16
12846,7
12860,8
12861,8
12889,8
12900,13
12904,119
12910,15
12960,8
12978,29
12987,60
13019,46
13033,16
13042,8
13043,7
13062,8
13080,59
13083,15
13086,8
13120,14
13140,8
13146,8
13186,16
13190,8
13194,116
13213,16
13220,8
13227,8
13260,30
13273,16
13290,13
13300,15
13322,31
13329,16
13336,30
13345,13
13347,8
13354,8
13368,31
13373,8
13376,116
13383,8
13388,16
13389,8
13410,8
13411,16
13437,8
13439,31
13468,8
13491,15
13494,7
13499,115
13517,59
13521,8
13522,8
13542,59
13546,59
13552,8
13563,14
13564,32
13594,8
13601,8
13609,8
13619,31
13635,32
13696,8
13707,8
13733,8
13746,8
13765,8
13777,30
13779,30
13782,118
13792,8
13793,8
13803,7
13813,31
13833,6
13842,8
13852,26
13855,14
13881,16
13893,8
13899,29
13911,16
13923,58
13927,8
13982,15
13988,8
13998,8
14010,58
14013,16
14037,16
14043,111
14050,8
14063,8
14071,15
14076,29
14090,16
14101,16
14111,8
14116,15
14120,8
14125,32
14148,8
14173,15
14179,8
14202,8
14210,16
14218,8
14220,8
14226,14
14247,7
14254,8
14262,16
14278,56
14284,8
14292,31
14304,16
14318,32
14320,29
14322,15
14361,15
14365,8
14382,58
14383,8
14384,15
14389,7
14395,8
14408,7
14414,8
14421,24
14427,8
14434,51
14471,30
14486,8
14496,57
14527,5
14529,8
14548,8
14549,8
14554,7
14555,31
14591,16
14592,8
14594,8
14607,31
14618,16
14619,32
14668,15
14682,7
14687,7
14709,14
14716,16
14717,15
14724,16
14736,8
14740,60
14742,8
14748,58
14768,16
14785,29
14789,8
14805,29
14810,15
14870,8
14873,8
14877,16
14880,8
14893,8
14896,8
14910,117
14923,16
14932,8
14938,8
14942,30
14949,8
14964,7
14976,60
15017,6
15041,16
15059,8
15061,61
15064,8
15066,8
15069,16
15074,8
15083,16
15114,32
15128,8
15140,8
15158,8
15168,29
15169,8
15211,31
15221,16
15229,8
15251,15
15267,8
15312,15
15313,15
15329,7
15338,16
15344,7
15380,29
15408,16
15432,8
15456,14
15463,7
15486,11
15508,7
15522,6
15526,119
15552,8
15563,8
15566,8
15575,16
15582,8
15584,16
15594,8
15612,7
15619,16
15621,31
15650,16
15657,8
15672,32
15708,31
15727,31
15748,113
15755,8
15764,16
15774,15
15777,15
15779,16
15780,16
15803,8
15814,8
15824,8
15827,8
15829,32
15851,8
15859,61
15860,7
15862,14
15892,16
15894,8
15903,117
15917,15
15925,8
